CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,AUTOFE_F_1,AUTOFE_F_6,AUTOFE_F_7,AUTOFE_F_10,AUTOFE_F_13,AUTOFE_F_16,AUTOFE_F_19,AUTOFE_F_27,AUTOFE_F_28,AUTOFE_F_30,AUTOFE_F_31,AUTOFE_F_33,AUTOFE_F_35,AUTOFE_F_41,AUTOFE_F_48
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,2.485,159.248,0.001817567568,1.538,65,5.575,-293.69,3.31,1.31,15.3,19.346405229,683.76,0.538,0.1509803922,7
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,1.4539,113.498,0.001938016529,2.469,79,4.421,-234.93,9.07,5.07,17.8,13.595505618,1710.94,0.469,0.3971910112,6
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,2.2179,113.498,0.001938016529,2.469,61,5.185,-234.93,9.07,5.07,17.8,13.595505618,1710.94,0.469,0.3971910112,7
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94,0.9358,101.676,0.002063063063,3.458,46,3.998,-219.82,5.18,-0.82,18.7,11.871657754,483.96,0.458,0.1165775401,7
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,5.33,1.0848,101.676,0.002063063063,3.458,54,4.147,-219.82,5.18,-0.82,18.7,11.871657754,483.96,0.458,0.1165775401,7
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,5.21,0.3678,101.676,0.002063063063,3.458,59,3.43,-219.82,5.18,-0.82,18.7,11.871657754,483.96,0.458,0.1165775401,6
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,12.43,0.4515,162.964,0.00168488746,5.524,67,1.012,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,19.15,0.2215,162.964,0.00168488746,5.524,96,1.172,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,29.93,-0.4511,162.964,0.00168488746,5.524,100,0.631,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,17.1,-0.5881,162.964,0.00168488746,5.524,86,1.004,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,20.45,0.0303,162.964,0.00168488746,5.524,94,1.377,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27,-0.2177,162.964,0.00168488746,5.524,83,1.009,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,15.71,0.4381,162.964,0.00168488746,5.524,39,0.889,-303.13,12.87,2.87,15.2,20.460526316,2447.57,0.524,0.5177631579,6
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,8.26,1.2415,165.166,0.001752442997,4.538,62,1.949,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,1.6341,165.166,0.001752442997,4.538,85,2.096,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,8.47,1.3354,165.166,0.001752442997,4.538,57,1.834,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,6.58,1.4364,165.166,0.001752442997,4.538,29,1.935,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,14.67,1.7321,165.166,0.001752442997,4.538,82,1.99,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,11.69,1.6595,165.166,0.001752442997,4.538,37,1.456,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,5
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,11.28,1.9305,165.166,0.001752442997,4.538,70,1.727,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,21.02,1.7721,165.166,0.001752442997,4.538,98,1.57,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,13.83,1.9527,165.166,0.001752442997,4.538,89,1.965,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72,2.1651,165.166,0.001752442997,4.538,92,2.142,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,1.7178,165.166,0.001752442997,4.538,100,1.813,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,16.3,1.5244,165.166,0.001752442997,4.538,94,1.924,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,16.51,1.1444,165.166,0.001752442997,4.538,86,1.599,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,14.81,1.131,165.166,0.001752442997,4.538,90,1.813,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28,1.5936,165.166,0.001752442997,4.538,89,2.047,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,12.8,2.0403,165.166,0.001752442997,4.538,94,2.495,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,11.98,2.435,165.166,0.001752442997,4.538,87,2.674,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,7
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,22.6,1.48,165.166,0.001752442997,4.538,94,1.713,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,13.04,1.897,165.166,0.001752442997,4.538,100,2.072,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,1.96,165.166,0.001752442997,4.538,82,1.95,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,18.35,1.9138,165.166,0.001752442997,4.538,95,1.701,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,20.34,2.3362,165.166,0.001752442997,4.538,97,2.096,-298.86,12.14,4.14,21,14.619047619,2498.98,0.538,0.3876190476,6
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,9.68,2.5727,139.221,0.001788530466,5.499,68,0.933,-273.04,10.96,0.96,19.2,14.53125,1662.84,0.499,0.3104166667,6
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,11.41,2.4631,139.221,0.001788530466,5.499,61,0.841,-273.04,10.96,0.96,19.2,14.53125,1662.84,0.499,0.3104166667,6
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,1.9158,139.221,0.001788530466,5.499,42,0.85,-273.04,10.96,0.96,19.2,14.53125,1662.84,0.499,0.3104166667,6
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,2.1187,139.221,0.001788530466,5.499,30,0.966,-273.04,10.96,0.96,19.2,14.53125,1662.84,0.499,0.3104166667,6
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,1.1939,107.856,0.001698412698,3.428,22,3.595,-249.05,5.95,-0.05,18.3,13.770491803,743.4,0.428,0.1612021858,7
